GO_id,Abeta42,Tau,aSyn,HTT128Q,HTT200Q,pathway,n_models_sig,concordant_direction
GO:0007268,0.4241668787518595,,0.5131590830777981,0.4774864048823303,-0.4357246784009829,chemical synaptic transmission,4,False
GO:0006959,-0.6019325222978523,,0.6246802734591835,0.4795978145967041,0.892090349887889,humoral immune response,4,False
GO:0099537,0.4123067478222539,,0.5094814344746873,0.4733081036205417,-0.442696855668549,trans-synaptic signaling,4,False
GO:0099536,0.3964737449776471,,0.5015125917425982,0.4637992912376308,-0.4391955522246201,synaptic signaling,4,False
GO:0098916,0.4241668787518595,,0.5131590830777981,0.4774864048823303,-0.4357246784009829,anterograde trans-synaptic signaling,4,False
GO:0000462,-0.7462989137405325,,-0.7632084477586821,-0.7455243185839648,,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",3,True
GO:0000470,-0.6583848126736535,,-0.6707154074665173,-0.6664326419965301,,maturation of LSU-rRNA,3,True
GO:0000479,-0.7468265906736232,,-0.8333740106734387,-0.7735802624801994,,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",3,True
GO:0000727,-0.841542251674838,,,-0.8476415279597082,0.7766788651340634,double-strand break repair via break-induced replication,3,False
GO:0000466,-0.65538700417037,,-0.7802241825317335,-0.7323723753004163,,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",3,True
GO:0000070,-0.6779254120152058,,,-0.583702735508188,0.5312570261929159,mitotic sister chromatid segregation,3,False
GO:0000154,-0.7564961357046893,,-0.7657920987398987,-0.5807256620641977,,rRNA modification,3,True
GO:0006260,-0.6937449869581676,,,-0.655229478601689,0.5302179616434329,DNA replication,3,False
GO:0002181,,,-0.7395022951118378,-0.7360690602920867,0.5236963068220317,cytoplasmic translation,3,False
GO:0006310,-0.6273197427251488,,,-0.4921831956632058,0.5431105397300656,DNA recombination,3,False
GO:0006261,-0.7091017823119907,,,-0.6840383262953802,0.545142978077831,DNA-templated DNA replication,3,False
GO:0006364,-0.6799478069519109,,-0.7300205126291375,-0.6141591564104768,,rRNA processing,3,True
GO:0006974,-0.6046452751005305,,,-0.4143795251874644,0.4195408494777913,DNA damage response,3,False
GO:0007052,-0.7156773477944138,,,-0.6005468493473766,0.5445535408691395,mitotic spindle organization,3,False
GO:0006270,-0.7894370738066874,,,-0.8287459749213362,0.7237863952779173,DNA replication initiation,3,False
GO:0007059,-0.6526277258368752,,,-0.5341570406188264,0.4784300649787069,chromosome segregation,3,False
GO:0007143,-0.7519503368603683,,,-0.6579982123894617,0.5854103480212779,female meiotic nuclear division,3,False
GO:0009617,-0.4143061615432286,,0.3750114754904486,,0.7320876968707852,response to bacterium,3,False
GO:0016052,0.549980501285972,,,-0.5076363837611492,0.6884525115088478,carbohydrate catabolic process,3,False
GO:0016072,-0.6678301361394674,,-0.7235935249175116,-0.575887885054936,,rRNA metabolic process,3,True
GO:0000819,-0.6777944727345613,,,-0.5782986306904425,0.5293323376457018,sister chromatid segregation,3,False
GO:0000280,-0.6360291126600076,,,-0.4994783946537691,0.4757163904677738,nuclear division,3,False
GO:0000460,-0.6618232098842916,,-0.7621683689848234,-0.6710181910659325,,maturation of 5.8S rRNA,3,True
GO:0030261,-0.624126236132956,,,-0.4939193827709449,0.5817120312465983,chromosome condensation,3,False
GO:0019731,-0.64971371301909,,0.7886272043292492,,0.9404076846527528,antibacterial humoral response,3,False
GO:0019730,-0.5932311982636167,,0.716027603100239,,0.9110971278622182,antimicrobial humoral response,3,False
GO:0030490,-0.7583660838604247,,-0.7645734619718352,-0.6754754591649152,,maturation of SSU-rRNA,3,True
GO:0040003,0.5601541582159717,,0.5972024595032578,0.6515633015000625,,chitin-based cuticle development,3,True
GO:0031167,-0.7306186548089203,,-0.7284580087616807,-0.5717944193326153,,rRNA methylation,3,True
GO:0033260,-0.8615553826916635,,,-0.8163798113579513,0.7896968564404918,nuclear DNA replication,3,False
GO:0034330,,,0.4614757610743356,0.4713473088567561,-0.5005418528242238,cell junction organization,3,False
GO:0042335,0.4767059591141939,,0.4659565307938978,0.5702424483959825,,cuticle development,3,True
GO:0042742,-0.464133446491356,,0.3918187495559814,,0.7466445301991133,defense response to bacterium,3,False
GO:0044282,,,-0.4619791418736975,-0.499834899953773,0.5220880043595806,small molecule catabolic process,3,False
GO:0048285,-0.6248426472286813,,,-0.4764273192265447,0.456429081523877,organelle fission,3,False
GO:0050808,,,0.4882703660909993,0.4433518743561735,-0.5847376959963582,synapse organization,3,False
GO:0042254,-0.637735357242176,,-0.6944884402019135,-0.5798718977960285,,ribosome biogenesis,3,True
GO:0042273,-0.633711442008078,,-0.6445959535680308,-0.5984486673492544,,ribosomal large subunit biogenesis,3,True
GO:0042274,-0.694691247778695,,-0.7075895283084538,-0.6498597251108927,,ribosomal small subunit biogenesis,3,True
GO:0051255,-0.9229739573164184,,,-0.878623442505368,0.8757605725209168,spindle midzone assembly,3,False
GO:0051231,-0.8699999407046818,,,-0.7691534988388846,0.7620298567652033,spindle elongation,3,False
GO:0051225,-0.7117087621578755,,,-0.6036344843699694,0.5601714424552929,spindle assembly,3,False
GO:0051256,-0.9207545184528314,,,-0.8606355622082341,0.8706874054805466,mitotic spindle midzone assembly,3,False
GO:0051321,-0.6315754720959942,,,-0.459834225114596,0.4742918798567158,meiotic cell cycle,3,False
GO:0098542,-0.4443383799681601,,,0.417424251742799,0.728162304808794,defense response to other organism,3,False
GO:0051310,-0.8157351646411908,,,-0.7364285385318234,0.7031658724975383,metaphase chromosome alignment,3,False
GO:0051276,-0.6387937286702755,,,-0.4919453195462036,0.4731350657300319,chromosome organization,3,False
GO:0098813,-0.6786701657248606,,,-0.5710082183229772,0.5041866147386058,nuclear chromosome segregation,3,False
GO:0098609,,,0.5074534360433498,0.5071841536229368,-0.5109947361593434,cell-cell adhesion,3,False
GO:0140013,-0.6256587344809211,,,-0.4670805688731567,0.4698930054591133,meiotic nuclear division,3,False
GO:0140014,-0.6634025322813281,,,-0.5669787837750271,0.5178130636790816,mitotic nuclear division,3,False
GO:0140546,-0.4592407670304317,,,0.4085095024337477,0.7316304128539713,defense response to symbiont,3,False
GO:0170033,,,-0.4396812274164016,-0.5907491772670024,0.5402945699377502,L-amino acid metabolic process,3,False
GO:0170039,,,-0.4621146432250734,-0.6076703157747343,0.5469926991766813,proteinogenic amino acid metabolic process,3,False
GO:1903046,-0.6334958203414736,,,-0.4675417922328693,0.4766718353389256,meiotic cell cycle process,3,False
